T;2-Octanone;4-Fluoroaniline;2,6-Dimethylphenol;Octan-1-ol;1,3-Dichlorobenzene;Cyclohexanone;4-Methylphenol;Aniline;n-Butylbenzene;Nonan-2-one;1-Phenyl-2-propanol;Hexan-1-ol
333.15;2.56144;2.6456;;3.24644;2.66978;1.77817;3.26548;2.43095;3.08527;;;1.55957
343.15;2.09821;2.18845;2.9853;2.73674;2.23271;1.38448;2.75103;1.99477;2.61395;2.88598;3.18176;1.14572
353.15;1.66231;1.75953;2.51431;2.25835;1.82012;1.01151;2.26973;1.58395;2.16913;2.405;2.70713;0.7548
363.15;1.26626;1.36986;2.08562;1.82327;1.4446;0.6734;1.8344;1.21062;1.76356;1.967;2.27302;0.40417
373.15;0.89599;1.00583;1.68554;1.41856;1.09217;0.3569;1.42996;0.86187;1.38432;1.55828;1.86815;0.07516
383.15;0.55407;0.67106;1.3162;1.04478;0.76554;0.06759;1.05809;0.54118;1.0324;1.18045;1.493;-0.22333
393.15;0.23056;0.35391;0.96872;0.69045;0.45583;-0.21054;0.71097;0.23288;0.69998;0.82329;1.13941;-0.51081
403.15;-0.06657;0.06153;0.64572;0.36509;0.16967;-0.46919;0.38701;-0.04629;0.38921;0.494;0.81068;-0.77805
413.15;-0.34488;-0.20931;0.34742;0.06604;-0.09703;-0.70081;0.08984;-0.30487;0.10731;0.18771;0.5066;-1.00963
423.15;-0.60269;-0.46529;0.0677;-0.2163;-0.34893;-0.92728;-0.18483;-0.55101;-0.16558;-0.09931;0.21858;-1.24071
433.15;-0.84723;-0.70661;-0.19822;-0.48397;-0.58334;-1.13365;-0.44793;-0.78152;-0.43782;-0.36997;-0.05169;-1.45053
443.15;-1.06858;-0.91946;-0.44241;-0.72715;-0.80401;-1.32598;-0.68762;-0.9956;-0.65593;-0.61907;-0.30121;-1.6397
453.15;-1.28538;-1.13186;-0.6708;-0.96529;-1.01801;-1.50909;-0.91522;-1.19519;-0.88325;-0.85208;-0.53947;-1.83803
463.15;-1.47713;-1.31813;-0.87888;-1.15977;-1.2024;-1.66628;-1.11887;-1.38144;-1.07936;-1.06039;-0.75288;-1.99186
473.15;-1.6747;;-1.09305;;-1.40022;-1.84634;-1.32335;-1.55875;-1.27529;-1.27529;-0.96447;-2.16147
